('ipiphone 6s có thể chiến được game pubg mobile mượt khong', {'entities': [(37, 48, 'GAME')]})
('chương trình áp đụng cho đến khi nào vậy ad.', {'entities': [(25, 36, 'WHEN_END_SALE_OFF')]})
('con hang ko ad o tren', {'entities': [(0, 11, 'OTHER')]})
('cho em hỏi. máy này bản 32gb màu đen bây giờ có giá là bao nhiêu ạ', {'entities': [(24, 26, 'ROM'), (33, 36, 'COLOR')]})
('máy còn màu đen không ạ. e ở hcm', {'entities': [(12, 15, 'COLOR'), (29, 32, 'LOCATION')]})
('mình ở long biên hà nội. cửa hàng ở nguyễn văn cừ còn hàng iphone iphone x trắng mã ll k nhỉ', {'entities': [(7, 16, 'LOCATION'), (17, 23, 'LOCATION'), (59, 74, 'PHONE'), (75, 80, 'COLOR')]})
('iphone 7 có đang khuyến mãi ko?', {'entities': [(0, 8, 'PHONE'), (12, 30, 'IS_SALE_OFF_NOW')]})
('iphone iphone xs maiphone x 512gb gold 2sim phải không ạ?', {'entities': [(0, 27, 'PHONE'), (28, 31, 'ROM'), (39, 43, 'HOW_NUMBER_SIM')]})
('dien thoai choi lien quan ok k', {'entities': [(16, 25, 'GAME')]})
('samsung j6 plus còn mầu khác k bạn', {'entities': [(16, 28, 'WHAT_ELSE_COLOR'), (0, 15, 'PHONE')]})
('máy iphone xách tay thị trường nào ạ', {'entities': [(20, 30, 'LOCATION')]})
('máy có mã thị trường châu âu đang có ở cửa hàng nào tp.hcm vậy ạ?', {'entities': [(52, 58, 'LOCATION')]})
('sản phẩm này còn hàng k ạ ?', {'entities': [(13, 21, 'OTHER')]})
('ko có bản 64 gb ạ', {'entities': [(11, 13, 'ROM')]})
('cho hỏi chống nước hok z', {'entities': [(8, 18, 'IS_WATER_PROTECTED')]})
('trừ quà giá sản phẩm còn bao nhiêu ạ?', {'entities': [(0, 7, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('mình ở đông anh hà nội, phiền shop iphone xem hộ mình còn hàng k?', {'entities': [(7, 15, 'LOCATION')]})
('iphone iphone x bản 64gb vàng đốm giờ giá nhiêu vậy?', {'entities': [(0, 15, 'PHONE'), (20, 22, 'ROM'), (25, 29, 'COLOR')]})
('khi nào mới có màu bạc ạ ?', {'entities': [(19, 22, 'COLOR')]})
('máy samsung galaiphone xy samsung a8 ở hà nội ở chi nhánh nào còn hàng?', {'entities': [(4, 36, 'PHONE'), (39, 45, 'LOCATION')]})
('samsung note 8 còn hàng ko ban', {'entities': [(0, 14, 'PHONE')]})
('bên mình đổi siphone iphone 8 plus dùng 1 năm lên samsung s9 samsung samsung samsung s9 plus cần thêm bao nhiêu ạ(máy bị hơi iphone xước phần cạnh trên)', {'entities': [(13, 34, 'PHONE'), (61, 92, 'PHONE')]})
('máy này chưa kích hoạt bảo hành phải ko , và có full phụ kiện ko', {'entities': [(8, 22, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('quận 7 có hàng huawei nova 3e ko ạ, ra mua trực tiềp vẩn dc kmãi bt fải ko ạ , hàng mới 100% ko ạ ??', {'entities': [(15, 29, 'PHONE'), (0, 6, 'LOCATION')]})
('ở sài gòn mặt hàng này còn ko ạ??', {'entities': [(2, 9, 'LOCATION')]})
('shop còn hàng không ạ', {'entities': [(5, 19, 'OTHER')]})
('samsung s9 đen ở quảng ninh có ko bạn', {'entities': [(0, 10, 'PHONE'), (17, 27, 'LOCATION')]})
('máy này là mới 100% full boiphone x và mã vn/a hả shop', {'entities': [(24, 39, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('giá hien tại bao nhiu zay ad8', {'entities': [(0, 23, 'OTHER')]})
('ben go vap con hang ko zenfon maiphone x pro ma mau bac', {'entities': [(4, 10, 'LOCATION'), (23, 44, 'PHONE'), (52, 55, 'COLOR')]})
('iphone xin chi nhánh', {'entities': [(0, 20, 'OTHER')]})
('iphone 7 plus đen nhám 128gb thì đổi iphone 8 plus 64 ghi thì bù bao nhiêu ạ', {'entities': [(0, 13, 'PHONE'), (39, 52, 'PHONE'), (53, 55, 'ROM')]})
('san pham co samsung pay khong?', {'entities': [(9, 23, 'IS_SUPPORTED_BUYING_THROUGH_CREDIT')]})
('trả góp như thế nào vậy bạn', {'entities': [(0, 7, 'IS_NEEDED')]})
('còn hàng k ad...minh ở càu diễn...shop có địa chỉ nao gàn khu vuc đó k', {'entities': [(23, 31, 'LOCATION')]})
('cho e hỏi là ip iphone iphone 8 plus đỏ còn hàng ở nguyễn văn cừ hà nội k ạ và máy mới là chính hãng nhập fpt à à shop', {'entities': [(13, 36, 'PHONE'), (37, 39, 'COLOR'), (51, 64, 'LOCATION'), (65, 71, 'LOCATION')]})
('cho em hỏi phụ kiện kèm theo khi mua máy này là gì ạ?', {'entities': [(11, 28, 'SALE_OFF_GIFF')]})
('e ở hcm. không biết samsung note 9 512gb suất 20,9tr còn không ạ', {'entities': [(20, 34, 'PHONE'), (35, 38, 'ROM'), (46, 52, 'MONEY'), (4, 7, 'LOCATION')]})
('cho chị hỏi ở tp.hcm còn samsung s9 màu tím không ?', {'entities': [(14, 20, 'LOCATION'), (25, 35, 'PHONE'), (40, 43, 'COLOR')]})
('cho em iphone xin giá trừ quà', {'entities': [(22, 29, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('bạn ơi, hiện tại ở hn còn ko bạn?', {'entities': [(19, 21, 'LOCATION')]})
('có chương trình thu mua máy cũ giá tốt không ? mình đang dùng samsung samsung s8 cũng mua tại chính cửa hàng này luôn, nay muốn đổi thành siphone 8 plus. trả lời sớm giúp mình để còn kịp chương trình khuyến mãi.', {'entities': [(62, 80, 'PHONE'), (138, 152, 'PHONE')]})
('mình ở tân bình không biết mua ở cửa hàng nào gần nhất ạ ?', {'entities': [(7, 15, 'LOCATION')]})
('có trả góp 0% ko ạ', {'entities': [(0, 10, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('giảm giá 1tr4 là còn 3tr6 phải không bạn', {'entities': [(0, 25, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('có màu iphone xám ko', {'entities': [(7, 17, 'COLOR')]})
('phiếu mua hàng 500k có được trừ thẳng vào sản phẩm không?', {'entities': [(28, 50, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('ngoài màu gold còn màu khác không shop', {'entities': [(15, 27, 'WHAT_ELSE_COLOR')]})
('samsung a8 đã kích hoạt là hàng đã sài rồi pk ?', {'entities': [(11, 23, 'IS_BRAND_NEW_OR_LIKE_NEW'), (0, 10, 'PHONE')]})
('sản phẩm ở khu vực hn còn màu bạc, hoặc màu iphone xám không ạ?', {'entities': [(19, 21, 'LOCATION'), (44, 54, 'COLOR'), (30, 33, 'COLOR')]})
('shop cho e hỏi bộ quà tặng gồm những gì ạ?', {'entities': [(15, 26, 'SALE_OFF_GIFF')]})
('không lấy loa trừ tiền và đổi nokia 7 plus còn bh từ cellphone được không?', {'entities': [(0, 13, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('ipiphone 6s màu iphone xám còn hàng ở tphcm không ạ?', {'entities': [(0, 11, 'PHONE'), (38, 43, 'LOCATION')]})
('samsung samsung s8 plus cũ giá bn v ạ', {'entities': [(24, 33, 'PRICE_OF_OLD_PHONE'), (0, 23, 'PHONE')]})
('trên địa bàn tỉnh long an thị trấn bến lức có cửa hàng hay chi nhánh nào của cellphones k ạ....', {'entities': [(18, 25, 'LOCATION')]})
('với cả có cửa hàng bán tại khu vực cầu giấy không', {'entities': [(35, 43, 'LOCATION')]})
('cho mình hỏi củ sạc đi kèm máy là 2 chân hay 3 chân vậy', {'entities': [(13, 26, 'WHAT_CHARGER')]})
('samsung samsung samsung s9 plus có trả góp ưu đãi gì bạn nhỉ?', {'entities': [(35, 52, 'IS_SALE_OFF_INSTALLMENT'), (0, 31, 'PHONE')]})
('còn áp dụng chương trình 20tr tại hcm ko shop?', {'entities': [(0, 24, 'IS_SALE_OFF_NOW'), (34, 37, 'LOCATION')]})
('ssiphone 7 plus có hỗ trợ 4g được không nhỉ?', {'entities': [(0, 15, 'PHONE'), (19, 28, 'IS_4G')]})
('quà có được hoàn trả hoặc đổi không ?', {'entities': [(12, 20, 'CAN_SELL_BACK'), (26, 29, 'CAN_SELL_BACK')]})
('bao giờ thì có hàng màu hồng ở hn nhỉ,nay gọi mà k đâu còn', {'entities': [(24, 28, 'COLOR'), (31, 33, 'LOCATION')]})
('sao mk thấy rẻ hơn ở thế giói di đọng và fpt shop liệu máy có phải chính hãng k ạ', {'entities': [(62, 77, 'WHAT_FROM_TYPE')]})
('và mùa ở tgdd có đồng giá như trên này k', {'entities': [(17, 25, 'OTHER')]})
('iphone xiaomi mi 6iphone x 64gb (ram 6gb) mới nguyên seal  giá bao nhiêu vậy', {'entities': [(0, 26, 'PHONE'), (27, 29, 'ROM'), (17, 18, 'RAM')]})
('có thanh toán qua thẻ tín dụng không', {'entities': [(3, 30, 'IS_SUPPORTED_BUYING_THROUGH_CREDIT')]})
('còn hàng ở hà nội ko ạ', {'entities': [(11, 17, 'LOCATION')]})
('có thu lại điện thoại cũ ko ạ? mình mua của cellphones oppo f1s.. giờ muốn bán oppo để mua ss siphone 8 plus ạ', {'entities': [(55, 63, 'PHONE'), (91, 108, 'PHONE')]})
('em năm nay 18t, có bằng lái iphone xe trả góp được không', {'entities': [(11, 13, 'YEAR_OLD'), (19, 37, 'GIAY_TO')]})
('hiện màu đen còn ở những cn nào ở hn ạ', {'entities': [(9, 12, 'COLOR'), (34, 36, 'LOCATION')]})
('shop ơi. còn khuyến mại samsung s9 này k ạ. ở hà nội còn hàng k ạ', {'entities': [(24, 34, 'Phone'), (46, 52, 'LOCATION'), (9, 23, 'IS_SALE_OFF_NOW')]})
('ad cho hỏi iphone iphone 8 plus chính hãng màu gold ở quận 9 còn k ạ', {'entities': [(11, 31, 'PHONE'), (47, 51, 'COLOR'), (54, 60, 'LOCATION')]})
('không có thẻ tín dụng có đc trả góp 0% k ạ?', {'entities': [(28, 35, 'IS_NEEDED')]})
('iphone 5 đen giá nhiêu?', {'entities': [(0, 8, 'PHONE'), (9, 12, 'COLOR')]})
('iphone iphone x giá nhiêu nhỉ?', {'entities': [(0, 15, 'PHONE_NAME')]})
('còn hàng k vậy', {'entities': [(9, 14, 'OTHER')]})
('này dùng 1 sim hay 2 sim', {'entities': [(9, 24, 'HOW_NUMBER_SIM')]})
('nếu mình ko lấy phiếu mua hàng thì có giảm giá ko vậy shop?', {'entities': [(9, 46, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('cho mình hỏi đây là máy lock hay máy gì 512gb mà 32tr vậy..', {'entities': [(20, 39, 'WHAT_FROM_TYPE'), (40, 43, 'ROM')]})
('tư vấn giùm nếu không quà tặg thì giảm bao nhiêu nữa ạ', {'entities': [(16, 48, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('phiếu mua hàng có được trừ vào giá sản phẩm luôn không ạ?', {'entities': [(23, 43, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('iphone iphone 8 plus gold 64gb  nhập khẩu qte giá bao nhiêu thế bạn ơi?', {'entities': [(0, 20, 'PHONE'), (21, 25, 'COLOR'), (26, 28, 'ROM')]})
('ở vũng tàu có chi nhánh k ạ', {'entities': [(2, 10, 'LOCATION')]})
('màu đen tp.hcm còn hàng ko ạ? em ở bình thạnh có shop nào gần hem', {'entities': [(35, 45, 'LOCATION'), (4, 7, 'COLOR')]})
('ad ơi giảm đến khi nào vậy ad?', {'entities': [(6, 22, 'WHEN_END_SALE_OFF')]})
('dt bày tại shop trả ghóp có lãi không ad', {'entities': [(16, 31, 'IS_NEEDED')]})
('làm thế nào để mua được ở hà nội samsung note 9 hot sale 20.990 k', {'entities': [(26, 32, 'LOCATION'), (33, 47, 'PHONE'), (57, 63, 'MONEY')]})
('khi nào samsung note 8 ở hà nội có hàng vậy?', {'entities': [(8, 22, 'PHONE'), (25, 31, 'LOCATION')]})
('mình mua máy ở cellphones giờ muốn bán lại để mua samsung j6 plus có được k và thủ tục ntn ạ??', {'entities': [(50, 65, 'PHONE'), (79, 90, 'PROCEDURE')]})
('tại hà nội còn hàng ko vậy ạ. quận hà đông hoặc lân cận cũng đc ạ', {'entities': [(4, 10, 'LOCATION'), (35, 42, 'LOCATION')]})
('con iphone iphone xs maiphone x 64gb này đã  có hàng sẵn tại cửa hàng luôn hay sao vậy?', {'entities': [(4, 31, 'PHONE'), (32, 34, 'ROM')]})
('đây là máy mới đầy đủ tai nghe cáp sạc k ạ?', {'entities': [(4, 14, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('mình muốn lên đời samsung a9, muốn bán lại con samsung samsung a8 mua tại cellphones 3/2, còn bh chính hãng samsung đến giữa 5/2019, máy đang iphone xài tốt, không biết cellphones có thu lại không ạ?', {'entities': [(47, 65, 'PHONE'), (74, 88, 'LOCATION')]})
('nếu mua trả góp thì mỗi tháng trả bao nhiêu ạ?', {'entities': [(8, 15, 'IS_NEEDED')]})
('có áp dụng pmh vào giá sản phẩm luôn không ạ?', {'entities': [(11, 14, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('máy 99% này có bung máy chưa shop ?', {'entities': [(0, 7, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('còn hàng ở nguyễn văn cừ hn ko ạ?', {'entities': [(11, 24, 'LOCATION'), (25, 27, 'LOCATION')]})
('mua trả góp 0% là trên giá 13tr990k hay gì vậy.', {'entities': [(4, 11, 'IS_NEEDED')]})
('máy này ram nhiêu?', {'entities': [(8, 17, 'WHAT_RAM')]})
('ở đồng tháp có bán không ạ', {'entities': [(2, 11, 'LOCATION')]})
('shop cho mình hỏi iphone iphone 8 plus 64g gold new chui sạc 2 chân bao nhiêu ạh?', {'entities': [(18, 38, 'PHONE'), (39, 41, 'ROM'), (43, 47, 'COLOR')]})
('thế giờ e mua samsung j6 plus ko lấy phiếu mua hàng thì e phải trả bn tiền ạ', {'entities': [(14, 29, 'PHONE'), (58, 69, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('anh/chị cho e hỏi. mình còn máy màu đen không ạ?', {'entities': [(36, 39, 'COLOR')]})
('cho hỏi ss samsung samsung s9 plus hoàng kim có ct trả góp 0% qua home credit kg?', {'entities': [(48, 77, 'IS_SUPPORTED_BUYING_THROUGH_CREDIT'), (11, 34, 'PHONE'), (35, 44, 'COLOR')]})
('khi nao hang ve bao minh', {'entities': [(8, 15, 'OTHER')]})
('phương  tư vấn mình giá sau khi trừ hết quà nhé', {'entities': [(32, 43, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('con này có ở bắc ninh ko ạ', {'entities': [(13, 21, 'LOCATION')]})
('con này có bản 64g k bạn? hay chỉ có 32g thôi?', {'entities': [(15, 17, 'ROM'), (37, 39, 'ROM')]})
('đây là bản vna ak ad', {'entities': [(7, 14, 'WHAT_FROM_TYPE')]})
('cho tôi hỏi trả góp bằng thẻ có cần chính chủ không vậy?', {'entities': [(12, 19, 'IS_NEEDED')]})
('đắc nông có k ad ơi', {'entities': [(0, 8, 'LOCATION')]})
('máy này sử dụng cục sạc mấy chấu thế', {'entities': [(20, 32, 'WHAT_CHARGER')]})
('còn màu tím k ad', {'entities': [(8, 11, 'COLOR')]})
('còn hàng ko ạ', {'entities': [(4, 11, 'OTHER')]})
('có thông tin về hàng xiaomi mi 8 pro chưa ạ', {'entities': [(0, 12, 'OTHER')]})
('còn ko ad', {'entities': [(0, 6, 'OTHER')]})
('cho mình hỏi là không lấy toàn bộ quà cáp gì thì giá cuối cùng phải thanh toán là bao nhiêu vậy shop?', {'entities': [(16, 41, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('cellphones âu cơ quận tân bình hcm còn hàng ko ad', {'entities': [(11, 16, 'LOCATION'), (32, 35, 'LOCATION')]})
('mua trả góp thì trả trước 10% là bao nhiêu tiền và 1 tháng bao nhiêu (trả góp 15 tháng)', {'entities': [(4, 25, 'IS_NEEDED')]})
('còn màu tím ko.', {'entities': [(8, 11, 'COLOR')]})
('mình ở hcm nếu mình không lấy quà thì giá nó như nào ạ', {'entities': [(7, 10, 'LOCATION'), (20, 33, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('cho em hỏi là nếu như không lấy pin và loa thì giá sản phẩm sẽ còn bao nhiêu ạ', {'entities': [(22, 42, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('tư vấn e trả góp ạ', {'entities': [(0, 16, 'IS_NEEDED')]})
('cho em hỏi mua điện thoại trả góp bao nhiêu tháng ?', {'entities': [(26, 33, 'IS_NEEDED')]})
('giá cả khuyến mãi có gì khác ko', {'entities': [(0, 28, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('e muốn trả góp 30% có đk k ạ', {'entities': [(7, 14, 'IS_NEEDED')]})
('bên mình ko còn về hàng samsung note 8 nữa àk', {'entities': [(24, 38, 'PHONE')]})
('mua trong nggày hnay k lấy qà thì còn bn ạ', {'entities': [(21, 29, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('dự kiến bh có hàng vậy shop?', {'entities': [(8, 18, 'OTHER')]})
('cho mình hỏi là thẻ master card debit có trả góp dc không ạ :?', {'entities': [(20, 48, 'IS_SUPPORTED_INSTALLMENT_THROUGH_CREDIT')]})
('còn k shop ơi, còn thì ở địa chỉ nào đang bán shop', {'entities': [(0, 10, 'OTHER')]})
('mình ở gần khu thái hà. bên bạn có thể chuyển máy từ hồ tùng mậu về thái hà có dc ko', {'entities': [(15, 22, 'LOCATION')]})
('cửa hàng 543 nguyễn trãi còn máy màu iphone xám không ạ?', {'entities': [(13, 24, 'LOCATION'), (37, 47, 'COLOR')]})
('đt này giá bao nhiu ạ', {'entities': [(7, 19, 'OTHER')]})
('pmh 500k có được trừ thẳng không ạ', {'entities': [(0, 3, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('cho em hỏi khi nào mới có những màu khác', {'entities': [(23, 40, 'WHAT_ELSE_COLOR')]})
('hung yen co chi nhanh nao ko', {'entities': [(0, 8, 'LOCATION')]})
('bảo hành tại trung tâm ủy quyền là những nơi có bán máy này à shop', {'entities': [(41, 55, 'OTHER')]})
('máy này là máy mới nguyên seal hay đã qua sử dụng ?', {'entities': [(19, 30, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('hiện tại cellphone q9 coa màu bạc giá 22tr ko shop?', {'entities': [(19, 21, 'LOCATION'), (30, 33, 'COLOR'), (38, 42, 'MONEY')]})
('trả góp qua công ty tài chính lãi suất là bao nhiêu vậy ad', {'entities': [(0, 7, 'IS_NEEDED')]})
('mua trong ngày hnay giá còn bao nhiêu bao gồm cả quà vậy ạ', {'entities': [(31, 40, 'OTHER')]})
('galaiphone xy samsung samsung a8 màu gold ở hn giá trừ khuyến mãi còn bao nhiều vậy b?', {'entities': [(55, 79, 'IS_PRICE_AFTER_SALE_OFF_PRICE'), (44, 46, 'LOCATION')]})
('bên mình giá bán hiện tại vẫn là 12.790.000 à shop ?', {'entities': [(17, 29, 'OTHER')]})
('iphone 8 plus đỏ chính hảng có hàng k shop ?', {'entities': [(0, 13, 'PHONE'), (14, 16, 'COLOR')]})
('co qua tang gi kem them khong shop', {'entities': [(3, 14, 'SALE_OFF_GIFF')]})
('cho mình hỏi shop còn samsung note 9 512 gb màu đen ko ??', {'entities': [(22, 36, 'PHONE'), (37, 40, 'ROM'), (48, 51, 'COLOR')]})
('nếu trả qua thẻ shinhan trong 12 tháng thì mỗi tháng trả 1tr6 phải không shop?', {'entities': [(4, 15, 'IS_NEEDED')]})
('hàng này còn ko', {'entities': [(9, 15, 'OTHER')]})
('cho hỏi còn samsung note 8 này không ạ', {'entities': [(12, 26, 'PHONE')]})
('nếu sp này không lấy quà tặng thì giá sẽ còn bn ạ', {'entities': [(11, 29, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('hi shop! cho e hỏi mua trả góp có đc nhận thêm km 1tr và tai phone ko?', {'entities': [(37, 49, 'SALE_OFF_GIFF')]})
('khu vực hà nội có hàng chưa shop', {'entities': [(8, 14, 'LOCATION')]})
('cuối cùng là androione hay androi 8.1 ạ?', {'entities': [(13, 37, 'WHAT_OS')]})
('tư vấn giùm mình trả góp 0% cần trả trước bao nhiêu và của công ty tài chính nào vậy?', {'entities': [(17, 27, 'IS_NEEDED')]})
('đt này khu vực tphcm còn màu đen ko shop', {'entities': [(15, 20, 'LOCATION'), (29, 32, 'COLOR')]})
('ở thủ đức có màu hồng k qtv', {'entities': [(2, 9, 'LOCATION'), (17, 21, 'COLOR')]})
('chào bạn mk muốn mua trả góp iphone iphone x phải trả trước tối thiểu bao nhiêu phần trăm vs nếu muộn lãi suất 0% cần những gì', {'entities': [(17, 28, 'IS_NEEDED'), (29, 44, 'PHONE')]})
('shop cho mình hỏi samsung j7 pro và samsung j6 plus máy nào chơi game ổn hơn và đỡ giật lag hơn ạ??', {'entities': [(18, 32, 'PHONE'), (60, 72, 'IS_FINE_WHILE_PLAYING')]})
('có màu đen ko ạ', {'entities': [(7, 10, 'COLOR')]})
('may co choi game ngon ko ad', {'entities': [(7, 16, 'IS_FINE_WHILE_PLAYING')]})
('sản phẩm bên mình có hỗ trợ tiếng việt không vậy bạn?', {'entities': [(28, 38, 'IS_VIETNAMESE_INSTALLED')]})
('xiaomi mi a2 này là chính hãng ở việt nam hả ad', {'entities': [(20, 30, 'WHAT_FROM_TYPE')]})
('có đc trừ thẳng quà không ??', {'entities': [(6, 19, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('qtv ơi cho mình hỏi nếu như mua tại cửa hàng thì có tặng quà và pmh ko ạ?', {'entities': [(49, 60, 'SALE_OFF_GIFF')]})
('giá hiện tại bao nhiu zậy ad', {'entities': [(0, 12, 'OTHER')]})
('mua trả góp ntn.lãi iphone xuất bao nhieu vay', {'entities': [(4, 15, 'IS_NEEDED')]})
('cho mình hỏi còn sale không ạ', {'entities': [(13, 27, 'IS_SALE_OFF_NOW')]})
('samsung samsung samsung s9 plus có chống nước chống bụi ko?', {'entities': [(35, 45, 'IS_WATER_PROTECTED'), (0, 31, 'PHONE')]})
('ad cho em hỏi cửa hàng mình địa chỉ ở đâu trong khu vực hồ chí minh v ạ', {'entities': [(56, 67, 'LOCATION')]})
('nếu không lấy tất cả quà thì giá là bao nhiêu', {'entities': [(4, 24, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('giá của samsung note 8 hiện tại là bao nhiêu ạ', {'entities': [(8, 22, 'PHONE')]})
('nếu có đổi thi phải bù thêm bao nhiêu', {'entities': [(20, 37, 'EXTRA_MONEY')]})
('iphone xiaomi xiaomi mi 8 pro shop có hàng chưa? giáo bao nhiêu?', {'entities': [(0, 29, 'PHONE')]})
('giá cuối cùng khi ko lấy bất kỳ món quà nào là bao nhiêu vậy shop', {'entities': [(18, 39, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('co kiêu tra góp trước 0% hay 10%', {'entities': [(12, 21, 'IS_NEEDED')]})
('iphone iphone x 64 gb đổi lên iphone x maiphone x 64 thì thêm bn tiền ạ', {'entities': [(0, 15, 'PHONE'), (16, 18, 'ROM'), (30, 49, 'PHONE'), (16, 18, 'ROM')]})
('loại này bao nhiêu gb vậy ạ????', {'entities': [(9, 21, 'WHAT_ROM')]})
('còn tính năng kháng nước không ad ơi?????????????????', {'entities': [(14, 24, 'IS_WATER_PROTECTED')]})
('chính hãng không ạ', {'entities': [(0, 16, 'WHAT_FROM_TYPE')]})
('iphone sony xperia xa1 plus còn màu vàng k ad', {'entities': [(0, 27, 'PHONE'), (36, 40, 'COLOR')]})
('sao con này rẽ vạy ad 500gb mà co 35tr là sao ạ', {'entities': [(22, 25, 'ROM'), (34, 38, 'MONEY')]})
('hiện tại máy đang giảm giá phải ko ạ , có khuyến mãi gì ko , nếu ko lấy quà thì có dc trừ tiền vào giá sản phẩm ko ạ ????', {'entities': [(65, 75, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('cho e hoi hang nay la iphone xuất iphone xứ từ đâu', {'entities': [(22, 43, 'OTHER')]})
('iphone xin thủ tục trả góp qua công ty tài chính', {'entities': [(11, 26, 'IS_NEEDED')]})
('bạn cho mình hỏi hàng này là bản quốc tế phải không.', {'entities': [(26, 40, 'IS_GLOBAL')]})
('ở hà nội nội không có con nào ạ', {'entities': [(2, 8, 'LOCATION')]})
('ở long an có hổ trợ trả gốp đc ko ad', {'entities': [(2, 9, 'LOCATION'), (13, 27, 'IS_NEEDED')]})
('còn máy ko ad', {'entities': [(0, 10, 'OTHER')]})
('cái này đã qua sử dụng rồi phải ko ạ? em đang muốn mua mới ạ', {'entities': [(8, 26, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('còn hàng không ạ?', {'entities': [(0, 14, 'OTHER')]})
('shop có thanh toán qua thẻ tín dụng hsbc dc ko ak', {'entities': [(8, 35, 'IS_SUPPORTED_BUYING_THROUGH_CREDIT'), (36, 40, 'BANK')]})
('samsung a8 tại khu vực hcm bán với giá bn thế?', {'entities': [(0, 10, 'PHONE'), (23, 26, 'LOCATION')]})
('có trả góp ko ak', {'entities': [(0, 10, 'IS_NEEDED')]})
('cho mình hỏi maiphone x pro m1 4g có bán ở cái bè.tiền giang k ạ', {'entities': [(13, 30, 'PHONE'), (31, 32, 'RAM'), (50, 60, 'LOCATION')]})
('không lấy quà trừ bao nhiu vậy ad?', {'entities': [(0, 13, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('khi vực tp.hcm có hàng mới màu đen không vậy ạ', {'entities': [(8, 14, 'LOCATION'), (31, 34, 'COLOR')]})
('còn giá 12.990.000 ko ạ', {'entities': [(0, 3, 'OTHER')]})
('ở quảng ngãi điện thoại này bán ở đâu', {'entities': [(2, 12, 'LOCATION')]})
('nhập khẩu ở đâu ạ???', {'entities': [(0, 11, 'IS_PHONE_FROM')]})
('máy còn k ad?', {'entities': [(4, 9, 'OTHER')]})
('sản phẩm này còn ở 543 nguyễn trãi, p. thanh iphone xuân nam, q. thanh iphone xuân k ạ', {'entities': [(23, 34, 'LOCATION'), (39, 60, 'LOCATION'), (39, 56, 'LOCATION')]})
('cho mình hỏi chương trình không nhận quà mà đc giảm tiền kéo dài bao lâu vậy', {'entities': [(57, 72, 'WHEN_END_SALE_OFF')]})
('iphone iphone 8 plus bản màu đỏ 64gb còn ở cửa hàng âu cơ tân bình k ah', {'entities': [(0, 20, 'PHONE'), (29, 31, 'COLOR'), (32, 34, 'ROM'), (52, 57, 'LOCATION')]})
('cho mình hỏi máy bên shop có phải là hàng vn/a ko ạ?', {'entities': [(37, 46, 'WHAT_CODE')]})
('có bảng ll/a lh mình nhé', {'entities': [(8, 12, 'CODE')]})
('có tai thỏ ko shop?', {'entities': [(3, 10, 'IS_EAR_RABBIT')]})
('em muốn mua trả góp dt ss samsung s9.', {'entities': [(8, 19, 'IS_NEEDED'), (26, 36, 'PHONE')]})
('hàng này là hàng iphone xách tay hay hàng công ty vậy ad?', {'entities': [(12, 49, 'WHAT_FROM_TYPE')]})
('giá có vat chưa shop', {'entities': [(0, 10, 'IF_INCLUDE_TAX')]})
('phụ kiện theo máy gồm những gì vay6 ad', {'entities': [(0, 17, 'SALE_OFF_GIFF')]})
('mình muốn đổi máy cũ với máy này có bù trừ gì thêm không? có thì gồm những gì v ad?', {'entities': [(36, 50, 'EXTRA_MONEY')]})
('hàng này là hàng iphone xách tay hay hàng công ty vậy ad?', {'entities': [(17, 49, 'WHAT_FROM_TYPE')]})
('còn máy này 32g có phải là hàng sách tay không shop', {'entities': [(12, 14, 'ROM'), (27, 40, 'WHAT_FROM_TYPE')]})
('em muốn mua mà chả thấy giá', {'entities': [(3, 11, 'OTHER')]})
